date,close,volume,open,low,high
2019-04-15 17:03:00,19.82,2066,19.82,19.82,19.82
2019-04-15 17:02:00,19.83,1060,19.83,19.83,19.83
2019-04-15 17:01:00,19.83,5178,19.83,19.82,19.83
2019-04-15 17:00:00,19.83,3916,19.83,19.83,19.83
2019-04-15 16:59:00,19.83,17232,19.84,19.83,19.84
2019-04-15 16:58:00,19.84,2224,19.85,19.84,19.85
2019-04-15 16:57:00,19.85,3000,19.85,19.85,19.85
2019-04-15 16:56:00,19.85,2611,19.85,19.85,19.85
2019-04-15 16:55:00,19.84,3969,19.84,19.84,19.84
2019-04-15 16:54:00,19.84,29212,19.85,19.84,19.85
2019-04-15 16:53:00,19.85,4640,19.85,19.85,19.85
2019-04-15 16:52:00,19.85,7851,19.84,19.84,19.85
2019-04-15 16:50:00,19.84,1864,19.84,19.84,19.84
2019-04-15 16:49:00,19.84,5125,19.85,19.84,19.85
2019-04-15 16:48:00,19.84,5006,19.84,19.84,19.84
2019-04-15 16:47:00,19.84,3407,19.84,19.84,19.84
2019-04-15 16:46:00,19.84,440,19.83,19.83,19.84
2019-04-15 16:45:00,19.83,1115,19.83,19.83,19.83
2019-04-15 16:44:00,19.83,3830,19.83,19.83,19.83
2019-04-15 16:43:00,19.84,1177,19.84,19.84,19.84
2019-04-15 16:42:00,19.84,254,19.84,19.84,19.84
2019-04-15 16:41:00,19.84,1765,19.84,19.84,19.84
2019-04-15 16:40:00,19.84,10355,19.84,19.84,19.84
2019-04-15 16:39:00,19.84,2575,19.85,19.84,19.85
2019-04-15 16:38:00,19.85,4336,19.85,19.85,19.85
2019-04-15 16:37:00,19.86,7524,19.85,19.85,19.86
2019-04-15 16:36:00,19.86,1856,19.86,19.86,19.86
2019-04-15 16:35:00,19.85,3254,19.85,19.85,19.85
2019-04-15 16:34:00,19.84,6712,19.84,19.84,19.84
2019-04-15 16:33:00,19.84,1920,19.84,19.84,19.84
2019-04-15 16:32:00,19.84,7583,19.84,19.83,19.84
2019-04-15 16:31:00,19.84,4985,19.84,19.84,19.84
2019-04-15 16:30:00,19.85,3243,19.86,19.85,19.86
2019-04-15 16:29:00,19.86,7383,19.87,19.86,19.87
2019-04-15 16:27:00,19.87,82976,19.87,19.87,19.87
2019-04-15 16:26:00,19.87,101043,19.87,19.87,19.87
2019-04-15 16:25:00,19.87,7855,19.87,19.87,19.87
2019-04-15 16:24:00,19.87,5738,19.86,19.86,19.87
2019-04-15 16:23:00,19.85,2499,19.85,19.85,19.85
2019-04-15 16:22:00,19.85,2987,19.85,19.85,19.85
2019-04-15 16:21:00,19.85,17960,19.85,19.85,19.85
2019-04-15 16:20:00,19.85,7734,19.86,19.85,19.86
2019-04-15 16:19:00,19.86,3383,19.86,19.86,19.86
2019-04-15 16:18:00,19.86,7187,19.86,19.86,19.86
2019-04-15 16:17:00,19.86,2271,19.86,19.86,19.87
2019-04-15 16:16:00,19.86,20522,19.86,19.86,19.86
2019-04-15 16:15:00,19.86,11054,19.87,19.86,19.87
2019-04-15 16:14:00,19.87,8348,19.88,19.87,19.88
2019-04-15 16:13:00,19.89,15263,19.89,19.89,19.89
2019-04-15 16:12:00,19.89,204,19.89,19.89,19.89
2019-04-15 16:10:00,19.89,7010,19.89,19.88,19.89
2019-04-15 16:08:00,19.89,154,19.89,19.89,19.89
2019-04-15 16:07:00,19.89,6693,19.90,19.89,19.90
2019-04-15 16:06:00,19.89,12214,19.90,19.89,19.90
2019-04-15 16:05:00,19.90,6809,19.89,19.89,19.90
2019-04-15 16:04:00,19.89,5133,19.89,19.89,19.89
2019-04-15 16:03:00,19.89,2016,19.90,19.89,19.90
2019-04-15 16:02:00,19.89,7574,19.90,19.89,19.90
