date,close,open,low,high
12-Dec-2001,24.7708,24.7708,24.7708,24.7708
13-Dec-2001,25.5773,25.5773,25.5773,25.5773
14-Dec-2001,25.7058,25.7058,25.7058,25.7058
17-Dec-2001,25.1272,25.1272,25.1272,25.1272
18-Dec-2001,25.6336,25.6336,25.6336,25.6336
19-Dec-2001,25.7100,25.7100,25.7100,25.7100
20-Dec-2001,24.8228,24.8228,24.8228,24.8228
21-Dec-2001,23.8529,23.8529,23.8529,23.8529
27-Dec-2001,22.7502,22.7502,22.7502,22.7502
28-Dec-2001,23.1921,23.1921,23.1921,23.1921
02-Jan-2002,24.2425,24.2425,24.2425,24.2425
03-Jan-2002,22.7719,22.7719,22.7719,22.7719
04-Jan-2002,21.4737,21.4737,21.4737,21.4737
07-Jan-2002,21.9353,21.9353,21.9353,21.9353
08-Jan-2002,21.8913,21.8913,21.8913,21.8913
09-Jan-2002,21.3683,21.3683,21.3683,21.3683
10-Jan-2002,21.8510,21.8510,21.8510,21.8510
11-Jan-2002,21.1960,21.1960,21.1960,21.1960
14-Jan-2002,22.2599,22.2599,22.2599,22.2599
15-Jan-2002,21.1971,21.1971,21.1971,21.1971
16-Jan-2002,21.3690,21.3690,21.3690,21.3690
17-Jan-2002,20.1765,20.1765,20.1765,20.1765
18-Jan-2002,19.7388,19.7388,19.7388,19.7388
21-Jan-2002,20.3432,20.3432,20.3432,20.3432
22-Jan-2002,19.7031,19.7031,19.7031,19.7031
23-Jan-2002,19.0745,19.0745,19.0745,19.0745
24-Jan-2002,18.0004,18.0004,18.0004,18.0004
25-Jan-2002,17.9090,17.9090,17.9090,17.9090
28-Jan-2002,17.8358,17.8358,17.8358,17.8358
29-Jan-2002,18.3387,18.3387,18.3387,18.3387
30-Jan-2002,20.6031,20.6031,20.6031,20.6031
31-Jan-2002,20.0253,20.0253,20.0253,20.0253
01-Feb-2002,19.3338,19.3338,19.3338,19.3338
04-Feb-2002,20.4006,20.4006,20.4006,20.4006
05-Feb-2002,22.6908,22.6908,22.6908,22.6908
06-Feb-2002,22.8552,22.8552,22.8552,22.8552
